CONSTTK const
INTTK int
IDENFR PI
ASSIGN =
INTCON 3
SEMICN ;
INTTK int
IDENFR _global
ASSIGN =
INTCON 233
SEMICN ;
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
INTCON 18231051
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON Test case 2: logistic, conditional, switch & loop expressions.
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR _global
EQL ==
INTCON 114514
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON Branch 1, should not enter this branch.
RPARENT )
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IFTK if
LPARENT (
IDENFR _global
GEQ >=
INTCON 222
RPARENT )
PRINTFTK printf
LPARENT (
STRCON Branch 2, should enter this branch.
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR _global
LEQ <=
INTCON 123
RPARENT )
PRINTFTK printf
LPARENT (
STRCON Branch 3, should not enter this branch.
RPARENT )
SEMICN ;
ELSETK else
IFTK if
LPARENT (
IDENFR _global
NEQ !=
MINU -
INTCON 233
RPARENT )
PRINTFTK printf
LPARENT (
STRCON Branch 4, should enter this branch.
RPARENT )
SEMICN ;
RBRACE }
WHILETK while
LPARENT (
IDENFR _global
LSS <
INTCON 255
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR _global
RPARENT )
SEMICN ;
IDENFR _global
ASSIGN =
IDENFR _global
PLUS +
INTCON 3
SEMICN ;
RBRACE }
FORTK for
LPARENT (
IDENFR _global
ASSIGN =
INTCON 2333
SEMICN ;
IDENFR _global
GRE >
INTCON 233
SEMICN ;
IDENFR _global
ASSIGN =
IDENFR _global
MINU -
INTCON 233
RPARENT )
PRINTFTK printf
LPARENT (
IDENFR _global
RPARENT )
SEMICN ;
LBRACE {
RBRACE }
LBRACE {
SEMICN ;
RBRACE }
LBRACE {
IDENFR _global
ASSIGN =
INTCON 1
SEMICN ;
RBRACE }
SWITCHTK switch
LPARENT (
IDENFR PI
RPARENT )
LBRACE {
CASETK case
INTCON 1
COLON :
IDENFR _global
ASSIGN =
IDENFR _global
PLUS +
INTCON 10
SEMICN ;
DEFAULTTK default
COLON :
IDENFR _global
ASSIGN =
IDENFR _global
PLUS +
INTCON 100
SEMICN ;
RBRACE }
SWITCHTK switch
LPARENT (
IDENFR PI
RPARENT )
LBRACE {
CASETK case
INTCON 2
COLON :
IDENFR _global
ASSIGN =
IDENFR _global
PLUS +
INTCON 1000
SEMICN ;
CASETK case
INTCON 3
COLON :
IDENFR _global
ASSIGN =
IDENFR _global
PLUS +
INTCON 10000
SEMICN ;
CASETK case
INTCON 4
COLON :
PRINTFTK printf
LPARENT (
STRCON Fallthrough, should not print this
RPARENT )
SEMICN ;
DEFAULTTK default
COLON :
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
IDENFR _global
RPARENT )
SEMICN ;
RBRACE }
